Report by Revenue averages in thousand of dollars,,,,,
,,,,,
Business characteristics,Whole Industry,Bottom Quartie,Lower Middle,Upper Middle,Top Quartile
"Agriculture, forestry, fishing and hunting  ","688.6","58.8","198","576.4","1,921.20"
"Mining, quarrying, and oil and gas extraction  ","444","58.2","126.9","223.8","1,367.20"
"Construction  ","499.7","51.7","120.9","306.3","1,519.90"
"Manufacturing  ","747.8","59.4","176.2","542","2,213.50"
"Wholesale trade  ","864.6","63.8","206.2","670.1","2,518.40"
"Retail trade  ","742.6","60","192.3","571.6","2,146.40"
"Transportation and warehousing  ","296.9","41.5","76.6","161.9","907.6"
"Information and cultural industries  ","389.2","42.7","82.5","181.2","1,250.20"
"Finance and insurance  ","N/A","N/A","N/A","N/A","N/A"
"Real estate and rental and leasing  ","180.7","33.4","45.3","85.7","558.6"
"Proffessional, scientific and technical services  ","287.2","44.1","88.5","171.8","844.6"
"Administrative and support, waste management and remediation services  ","389","41.3","83.8","212.7","1,218.20"
"Educational services  ","282.5","38.2","68.7","162.3","860.9"
"Health care and social assistance  ","375","47.3","128.6","340.6","983.5"
"Arts, entertainment and recreation  ","444.1","38.9","N/A","N/A","842.7"
"Accomodation and food services  ","597.1","76.3","227.2","499.3","1,585.70"
"Other services (except public administration)  ","354.7","43.2","91.4","220","1,064.10"
