Report by Expense averages in thousand of dollars,,,,,
,,,,,
Business characteristics,Whole Industry,Bottom Quartie,Lower Middle,Upper Middle,Top Quartile
"Agriculture, forestry, fishing and hunting  ","761.3","55.6","195.9","628.5","2,165.30"
"Mining, quarrying, and oil and gas extraction  ","677.6","160.4","222","237.7","2,090.40"
"Construction  ","454.4","49.4","104.3","270.8","1,393.00"
"Manufacturing  ","718.9","65","173.3","532.4","2,105.00"
"Wholesale trade  ","812.3","60.4","186.4","621.3","2,380.90"
"Retail trade  ","699.7","54","178","539.7","2,027.30"
"Transportation and warehousing  ","256.2","31.2","60.4","137.3","795.8"
"Information and cultural industries  ","346.9","28.6","54.1","136.5","1,168.40"
"Finance and insurance  ","N/A","N/A","N/A","N/A","N/A"
"Real estate and rental and leasing  ","134.5","25.9","34.6","62.5","414.8"
"Professional, scientific and technical services  ","209.8","29.1","53.8","105.1","651.3"
"Administrative and support, waste management and remediation services  ","322.7","25.3","56.5","165.2","1,044.00"
"Educational services  ","232.6","19.6","43.6","127.6","739.6"
"Health care and social assistance  ","229","20.6","59.6","179.5","656.3"
"Arts, entertainment and recreation  ","365.4","24.4","N/A","N/A","770.2"
"Accommodation and food services  ","581.4","82.5","230","488","1,525.20"
"Other services (except public administration)  ","318.5","32.3","76.8","193.7","971.30"
